DATETIME,Model,Accuracy,Feature function,Normalization,Feature function config,Feature function training time,Model config,Model training time
03-02-2018_15-57-44,logistic_reg,39.600000000000001,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",37.64496612548828,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.0001, 'solver': 'liblinear', 'class_weight': None}",89.14189314842224
03-02-2018_15-58-13,neural_net,35.899999999999999,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",37.64496612548828,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (800,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",28.793883085250854
03-02-2018_16-00-58,logistic_reg,39.600000000000001,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",37.18891191482544,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.0001, 'solver': 'liblinear', 'class_weight': None}",87.65656995773315
03-02-2018_16-02-12,neural_net,57.099999999999994,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",37.18891191482544,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",73.50773096084595
