DATETIME;Model;Accuracy;Feature function;Feature function config;Feature function training time;Model config;Model training time
29-01-2018_12-55-43;logistic_reg;46.600000000000001;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 10, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'};9.325134992599487;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};5.8622331619262695
29-01-2018_12-55-45;neural_net;62.600000000000001;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 10, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'};9.325134992599487;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};1.919529914855957
29-01-2018_12-56-32;logistic_reg;42.399999999999999;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 10, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'};6.561572074890137;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};2.0471150875091553
29-01-2018_12-56-36;neural_net;62.700000000000003;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 10, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'};6.561572074890137;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};3.8867690563201904
29-01-2018_12-59-53;logistic_reg;42.799999999999997;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 50, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};29.624022006988525;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};30.717015981674194
29-01-2018_12-59-59;neural_net;47.5;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 50, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};29.624022006988525;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};5.859474182128906
29-01-2018_13-01-09;logistic_reg;42.5;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 5, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};5.767443895339966;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};1.9094059467315674
29-01-2018_13-01-10;neural_net;55.000000000000007;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 5, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};5.767443895339966;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};1.3062660694122314
29-01-2018_13-01-49;logistic_reg;46.600000000000001;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};10.565755844116211;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};5.376420021057129
29-01-2018_13-01-52;neural_net;65.799999999999997;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};10.565755844116211;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False};2.723752021789551
29-01-2018_13-03-38;logistic_reg;45.800000000000004;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 10, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};8.642677068710327;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};4.390081882476807
29-01-2018_13-03-57;neural_net;65.400000000000006;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 10, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};8.642677068710327;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False};1.864332914352417
29-01-2018_13-05-07;logistic_reg;46.600000000000001;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};10.8399019241333;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};5.187812089920044
29-01-2018_13-05-09;neural_net;65.799999999999997;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 30, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};10.8399019241333;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False};2.435529947280884
29-01-2018_13-06-32;logistic_reg;48.0;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 40, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};13.363655805587769;{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None};5.8652520179748535
29-01-2018_13-06-35;neural_net;64.400000000000006;mfcc;{'do_dct': True, 'fs': 16000, 'frate': 15, 'wlen': 0.025, 'upperf': 8000, 'ncep': 12, 'nfilt': 40, 'lowerf': 300, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': False, 'compression': 'log'};13.363655805587769;{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False};2.8100240230560303
