DATETIME,Model,Accuracy,Feature function,Normalization,Feature function config,Feature function training time,Model config,Model training time
04-02-2018_12-47-57,logistic_reg,41.0,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",45.84326696395874,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",80.95690298080444
04-02-2018_12-48-40,neural_net,50.299999999999997,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",45.84326696395874,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.0001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",42.58787393569946
04-02-2018_12-54-42,logistic_reg,41.0,melfbanks,True,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",60.122575998306274,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",90.07597088813782
04-02-2018_12-55-24,neural_net,50.299999999999997,melfbanks,True,"{'do_dct': False, 'fs': 16000, 'frate': 100, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",60.122575998306274,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.0001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",41.18884897232056
04-02-2018_13-04-07,logistic_reg,39.600000000000001,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",38.82156205177307,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",65.12308597564697
04-02-2018_13-04-57,neural_net,53.600000000000001,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",38.82156205177307,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.0001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",49.48286008834839
04-02-2018_13-12-06,logistic_reg,39.600000000000001,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",40.36159706115723,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",70.9223530292511
04-02-2018_13-13-23,neural_net,57.099999999999994,melfbanks,False,"{'do_dct': False, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",40.36159706115723,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",77.00259709358215
04-02-2018_13-17-37,logistic_reg,39.600000000000001,melfbanks,True,"{'do_dct': False, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",42.29301190376282,"{'warm_start': False, 'C': 1.5, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",75.52203702926636
04-02-2018_13-19-00,neural_net,57.099999999999994,melfbanks,True,"{'do_dct': False, 'fs': 16000, 'frate': 80, 'wlen': 0.025, 'upperf': 8000, 'ncep': 0, 'nfilt': 26, 'lowerf': 0, 'nfft': 512, 'alpha': 0.97, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",42.29301190376282,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (500,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.001, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'adaptive', 'early_stopping': False}",82.1305799484253
