DATETIME,Model,Accuracy,Feature function,Feature function config,Feature function training time,Model config,Model training time
29-01-2018_12-24-43,logistic_reg,37.100000000000001,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': True, 'compression': 'log'}",47.93089294433594,"{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",58.14786696434021
29-01-2018_12-25-00,neural_net,46.899999999999999,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': True, 'compression': 'log'}",47.93089294433594,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False}",6.991386890411377
29-01-2018_12-32-11,logistic_reg,31.900000000000002,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",47.41768193244934,"{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",35.51256990432739
29-01-2018_12-32-29,neural_net,50.799999999999997,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': False, 'do_deltas': False, 'compression': 'log'}",47.41768193244934,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False}",4.2007880210876465
29-01-2018_12-36-08,logistic_reg,36.799999999999997,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",49.7583429813385,"{'warm_start': False, 'C': 1.0, 'n_jobs': 1, 'verbose': 1, 'intercept_scaling': 1, 'fit_intercept': True, 'max_iter': 100, 'penalty': 'l2', 'multi_class': 'ovr', 'random_state': 777, 'dual': False, 'tol': 0.001, 'solver': 'liblinear', 'class_weight': None}",81.59145617485046
29-01-2018_12-36-53,neural_net,36.299999999999997,mfcc,"{'do_dct': True, 'fs': 16000, 'frate': 100, 'wlen': 0.035, 'upperf': 5000, 'ncep': 8, 'nfilt': 20, 'lowerf': 500, 'nfft': 512, 'alpha': 0.6, 'do_deltasdeltas': True, 'do_deltas': True, 'compression': 'log'}",49.7583429813385,"{'beta_1': 0.9, 'warm_start': False, 'beta_2': 0.999, 'shuffle': True, 'verbose': True, 'nesterovs_momentum': True, 'hidden_layer_sizes': (100,), 'epsilon': 1e-08, 'activation': 'relu', 'max_iter': 200, 'batch_size': 'auto', 'power_t': 0.5, 'random_state': 777, 'learning_rate_init': 0.01, 'tol': 0.0001, 'validation_fraction': 0.2, 'alpha': 0.0001, 'solver': 'adam', 'momentum': 0.9, 'learning_rate': 'constant', 'early_stopping': False}",14.340425968170166
